participant,graph_nodes,question_level,adaptation,n_trials,n_correct,n_wrong_answer,n_no_response,n_incorrect,accuracy
sphynx_10,6,1,fully_adapted,4,3,1,0,1,0.75
sphynx_10,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_10,6,1,semi_adapted,4,3,1,0,1,0.75
sphynx_10,6,2,fully_adapted,4,3,1,0,1,0.75
sphynx_10,6,2,non_adapted,4,3,1,0,1,0.75
sphynx_10,6,2,semi_adapted,4,3,1,0,1,0.75
sphynx_10,12,1,fully_adapted,4,3,1,0,1,0.75
sphynx_10,12,1,non_adapted,4,4,0,0,0,1.0
sphynx_10,12,1,semi_adapted,4,3,1,0,1,0.75
sphynx_10,12,2,fully_adapted,4,3,1,0,1,0.75
sphynx_10,12,2,non_adapted,4,1,1,2,3,0.25
sphynx_10,12,2,semi_adapted,4,2,2,0,2,0.5
sphynx_11,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_11,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_11,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_11,6,2,fully_adapted,4,2,2,0,2,0.5
sphynx_11,6,2,non_adapted,4,4,0,0,0,1.0
sphynx_11,6,2,semi_adapted,4,4,0,0,0,1.0
sphynx_11,12,1,fully_adapted,4,3,1,0,1,0.75
sphynx_11,12,1,non_adapted,4,3,1,0,1,0.75
sphynx_11,12,1,semi_adapted,4,4,0,0,0,1.0
sphynx_11,12,2,fully_adapted,4,1,2,1,3,0.25
sphynx_11,12,2,non_adapted,4,1,1,2,3,0.25
sphynx_11,12,2,semi_adapted,4,0,2,2,4,0.0
sphynx_12,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_12,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_12,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_12,6,2,fully_adapted,4,3,1,0,1,0.75
sphynx_12,6,2,non_adapted,4,3,1,0,1,0.75
sphynx_12,6,2,semi_adapted,4,4,0,0,0,1.0
sphynx_12,12,1,fully_adapted,4,4,0,0,0,1.0
sphynx_12,12,1,non_adapted,4,3,1,0,1,0.75
sphynx_12,12,1,semi_adapted,4,4,0,0,0,1.0
sphynx_12,12,2,fully_adapted,4,4,0,0,0,1.0
sphynx_12,12,2,non_adapted,4,2,0,2,2,0.5
sphynx_12,12,2,semi_adapted,4,2,2,0,2,0.5
sphynx_13,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_13,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_13,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_13,6,2,fully_adapted,4,3,1,0,1,0.75
sphynx_13,6,2,non_adapted,4,3,1,0,1,0.75
sphynx_13,6,2,semi_adapted,4,4,0,0,0,1.0
sphynx_13,12,1,fully_adapted,4,4,0,0,0,1.0
sphynx_13,12,1,non_adapted,4,4,0,0,0,1.0
sphynx_13,12,1,semi_adapted,4,4,0,0,0,1.0
sphynx_13,12,2,fully_adapted,4,4,0,0,0,1.0
sphynx_13,12,2,non_adapted,4,2,0,2,2,0.5
sphynx_13,12,2,semi_adapted,4,3,1,0,1,0.75
sphynx_2,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_2,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_2,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_2,6,2,fully_adapted,4,3,1,0,1,0.75
sphynx_2,6,2,non_adapted,4,3,1,0,1,0.75
sphynx_2,6,2,semi_adapted,4,3,1,0,1,0.75
sphynx_2,12,1,fully_adapted,4,4,0,0,0,1.0
sphynx_2,12,1,non_adapted,4,3,1,0,1,0.75
sphynx_2,12,1,semi_adapted,4,4,0,0,0,1.0
sphynx_2,12,2,fully_adapted,4,4,0,0,0,1.0
sphynx_2,12,2,non_adapted,4,2,1,1,2,0.5
sphynx_2,12,2,semi_adapted,4,2,1,1,2,0.5
sphynx_3,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_3,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_3,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_3,6,2,fully_adapted,4,0,0,4,4,0.0
sphynx_3,6,2,non_adapted,4,2,0,2,2,0.5
sphynx_3,6,2,semi_adapted,4,2,1,1,2,0.5
sphynx_3,12,1,fully_adapted,4,2,2,0,2,0.5
sphynx_3,12,1,non_adapted,4,3,0,1,1,0.75
sphynx_3,12,1,semi_adapted,4,4,0,0,0,1.0
sphynx_3,12,2,fully_adapted,4,3,1,0,1,0.75
sphynx_3,12,2,non_adapted,4,1,3,0,3,0.25
sphynx_3,12,2,semi_adapted,4,2,0,2,2,0.5
sphynx_4,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_4,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_4,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_4,6,2,fully_adapted,4,3,1,0,1,0.75
sphynx_4,6,2,non_adapted,4,2,1,1,2,0.5
sphynx_4,6,2,semi_adapted,4,4,0,0,0,1.0
sphynx_4,12,1,fully_adapted,4,4,0,0,0,1.0
sphynx_4,12,1,non_adapted,4,3,1,0,1,0.75
sphynx_4,12,1,semi_adapted,4,4,0,0,0,1.0
sphynx_4,12,2,fully_adapted,4,2,2,0,2,0.5
sphynx_4,12,2,non_adapted,4,1,1,2,3,0.25
sphynx_4,12,2,semi_adapted,4,1,3,0,3,0.25
sphynx_5_1,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_5_1,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_5_1,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_5_1,6,2,fully_adapted,4,2,2,0,2,0.5
sphynx_5_1,6,2,non_adapted,4,2,2,0,2,0.5
sphynx_5_1,6,2,semi_adapted,4,4,0,0,0,1.0
sphynx_5_1,12,1,fully_adapted,4,4,0,0,0,1.0
sphynx_5_1,12,1,non_adapted,4,4,0,0,0,1.0
sphynx_5_1,12,1,semi_adapted,4,3,0,1,1,0.75
sphynx_5_1,12,2,fully_adapted,4,2,2,0,2,0.5
sphynx_5_1,12,2,non_adapted,4,2,1,1,2,0.5
sphynx_5_1,12,2,semi_adapted,4,3,1,0,1,0.75
sphynx_6,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_6,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_6,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_6,6,2,fully_adapted,4,4,0,0,0,1.0
sphynx_6,6,2,non_adapted,4,2,1,1,2,0.5
sphynx_6,6,2,semi_adapted,4,4,0,0,0,1.0
sphynx_6,12,1,fully_adapted,4,4,0,0,0,1.0
sphynx_6,12,1,non_adapted,4,4,0,0,0,1.0
sphynx_6,12,1,semi_adapted,4,4,0,0,0,1.0
sphynx_6,12,2,fully_adapted,4,3,1,0,1,0.75
sphynx_6,12,2,non_adapted,4,1,1,2,3,0.25
sphynx_6,12,2,semi_adapted,4,1,1,2,3,0.25
sphynx_7,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_7,6,1,non_adapted,4,4,0,0,0,1.0
sphynx_7,6,1,semi_adapted,4,4,0,0,0,1.0
sphynx_7,6,2,fully_adapted,4,3,1,0,1,0.75
sphynx_7,6,2,non_adapted,4,4,0,0,0,1.0
sphynx_7,6,2,semi_adapted,4,2,2,0,2,0.5
sphynx_7,12,1,fully_adapted,4,4,0,0,0,1.0
sphynx_7,12,1,non_adapted,4,3,1,0,1,0.75
sphynx_7,12,1,semi_adapted,4,3,1,0,1,0.75
sphynx_7,12,2,fully_adapted,4,1,3,0,3,0.25
sphynx_7,12,2,non_adapted,4,1,2,1,3,0.25
sphynx_7,12,2,semi_adapted,4,1,3,0,3,0.25
sphynx_8,6,1,fully_adapted,4,4,0,0,0,1.0
sphynx_8,6,1,non_adapted,4,3,1,0,1,0.75
sphynx_8,6,1,semi_adapted,4,3,1,0,1,0.75
sphynx_8,6,2,fully_adapted,4,3,1,0,1,0.75
sphynx_8,6,2,non_adapted,4,3,0,1,1,0.75
sphynx_8,6,2,semi_adapted,4,3,1,0,1,0.75
sphynx_8,12,1,fully_adapted,4,3,0,1,1,0.75
sphynx_8,12,1,non_adapted,4,3,1,0,1,0.75
