participant,graph_nodes,question_level,adaptation,semi_subtype,error_type,keypress_norm,answer_norm,responded_in_time,rt_observed,update_questions,graph_image
trial_1_3,6,1,fully_adapted,,wrong_answer,2,1,True,11.391644599964138,Count the number of nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00071/no_caption/fully_adapted.png
sphynx_10,6,1,fully_adapted,,wrong_answer,0,5,True,14.780710800000207,How many nodes have TLP:GREEN?,samples/6 node/6_nodes_S00068/no_caption/fully_adapted.png
sphynx_9,6,1,fully_adapted,,wrong_answer,3,1,True,11.884171199985076,Count the number of nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00071/no_caption/fully_adapted.png
sphynx_8,6,1,non_adapted,,wrong_answer,1,2,True,14.894315000041388,Count the number of nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00008/no_caption/non_adapted.png
sphynx_10,6,1,semi_adapted,color_nodes,wrong_answer,0,1,True,10.588572699999986,How many nodes have TLP:GREEN?,samples/6 node/6_nodes_S00128/no_caption/nodes_color_type.png
sphynx_8,6,1,semi_adapted,size_nodes,wrong_answer,2,3,True,6.261164900031872,Count the number of nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00131/no_caption/nodes_size_value.png
sphynx_9,6,1,semi_adapted,size_nodes,wrong_answer,6,3,True,12.241231799940579,Count the number of nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00131/no_caption/nodes_size_value.png
sphynx_12,6,2,fully_adapted,,wrong_answer,2,1,True,5.087182999996003,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_13,6,2,fully_adapted,,wrong_answer,2,1,True,5.318983499994147,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_3,6,2,fully_adapted,,no_response,,0,False,,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/6 node/6_nodes_S00077/no_caption/fully_adapted.png
sphynx_3,6,2,fully_adapted,,no_response,,1,False,,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_3,6,2,fully_adapted,,no_response,,1,False,,Count the number of MALWARE nodes with high connection counts (node size 7-10),samples/6 node/6_nodes_S00083/no_caption/fully_adapted.png
sphynx_3,6,2,fully_adapted,,no_response,,0,False,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,samples/6 node/6_nodes_S00086/no_caption/fully_adapted.png
trial_1_3,6,2,fully_adapted,,wrong_answer,2,1,True,15.157436799956486,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_5_1,6,2,fully_adapted,,wrong_answer,2,0,True,13.167756999959238,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,samples/6 node/6_nodes_S00077/no_caption/fully_adapted.png
sphynx_5_1,6,2,fully_adapted,,wrong_answer,2,1,True,7.758879799977876,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_7,6,2,fully_adapted,,wrong_answer,2,1,True,10.090365300071198,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_10,6,2,fully_adapted,,wrong_answer,0,1,True,10.776037299999643,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_4,6,2,fully_adapted,,wrong_answer,2,1,True,10.402087599999504,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
sphynx_11,6,2,fully_adapted,,wrong_answer,2,1,True,9.401615099996206,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,samples/6 node/6_nodes_S00080/no_caption/fully_adapted.png
