graph_image,graph_complexity,question_complexity,visualisation_type,update_questions,answer,question_id,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text_6.started,key_start_experiment_2.started,start.stopped,key_start_experiment_2.keys,key_start_experiment_2.rt,key_start_experiment_2.duration,instructions.started,text_2.started,legend_instructions.started,instructions.stopped,show_cross.started,txt_show_cross.started,show_cross.stopped,trial.started,image.started,keypress.started,trial.stopped,keypress.keys,keypress.rt,keypress.duration,break_2.started,text_4.started,text_5.started,break_2.stopped,long_break.started,long_break.stopped,text_countdown.started,end.started,text.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 51,source_file,graph_nodes,question_level,adaptation,semi_subtype,keypress_norm,responded_in_time,rt_observed,rt,folder_name,rt_imputed,answer_norm,has_answer_key,is_correct,extremes_only_analysis,analysis_note,text_4.stopped,text_5.stopped,txt_show_cross.stopped,Unnamed: 54,text_2.stopped,legend_instructions.stopped,Unnamed: 53,Unnamed: 52,Unnamed: 56
samples/6 node/6_nodes_S00023/no_caption/non_adapted.png,6.0,2.0,non_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),,Count the number of MALWARE nodes with high connection counts (node size 7-10),0.0,0.0,0.0,6.0,61.09961889999977,,,,,,,,,61.04160700000648,61.09961889999977,61.09961889999977,76.0274866999971,76.02752479999617,76.04685710000922,77.03056850000576,77.03064680000534,77.12231720000273,77.12231720000273,95.02648280000722,0.0,86.43679300000076,0.088610000006156,95.03604400000768,95.0601769000059,95.0601769000059,99.03122200000507,99.03124860000388,99.03131320000102,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,6,2,non_adapted,,0,True,9.314475799998036,9.314475799998036,Anastasia,False,0,True,True,False,all adaptation levels,,,,,,,,,
samples/12 node/12_nodes_S00018/no_caption/non_adapted.png,12.0,2.0,non_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,3.0,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,0.0,1.0,1.0,29.0,99.0651829999988,,,,,,,,,99.03188890000456,99.0651829999988,99.0651829999988,114.04234660000655,114.042371500007,114.05861059999734,115.04281340001036,115.04289620000054,115.132978499998,115.132978499998,133.04119810000702,,,,133.04598439999972,133.06098639999982,133.06098639999982,137.04440130000876,137.04442940000445,137.04447320000327,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,12,2,non_adapted,,,False,,,Anastasia,False,3,True,False,False,all adaptation levels,,,,,,,,,
samples/12 node/12_nodes_S00147/no_caption/nodes_shape_tlp.png,12.0,2.0,shape_nodes,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,2.0,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,0.0,2.0,2.0,44.0,137.0632709000056,,,,,,,,,137.0450930000079,137.0632709000056,137.0632709000056,152.05634029999783,152.0563642000052,152.07546230001026,153.05922830000054,153.05931430000055,153.1499346000055,153.1499346000055,171.05575270000554,1.0,170.82274750000215,0.1185815000062575,171.0596838000056,171.07288859999971,171.07288859999971,175.05888949999644,175.05890630000795,175.05892999999924,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,12,2,semi_adapted,shape_nodes,1,True,17.672812899996643,17.672812899996643,Anastasia,False,2,True,False,False,all adaptation levels,,,,,,,,,
samples/6 node/6_nodes_S00068/no_caption/fully_adapted.png,6.0,1.0,fully_adapted,How many nodes have TLP:GREEN?,5.0,How many nodes have TLP:GREEN?,0.0,3.0,3.0,9.0,175.08191150000494,,,,,,,,,175.05926730000647,175.08191150000494,175.08191150000494,190.07093539999917,190.0709487999993,190.08820610000112,191.07242170000973,191.0724637000094,191.16186220000964,191.16186220000964,209.07311830000253,5.0,197.1728104000067,0.0966495000029681,209.07959980001036,209.09430150000844,209.09430150000844,213.0732879999996,213.07331059999703,213.07336150000629,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,6,1,fully_adapted,,5,True,6.010948199997074,6.010948199997074,Anastasia,False,5,True,True,False,all adaptation levels,,,,,,,,,
samples/6 node/6_nodes_S00143/no_caption/nodes_size_value.png,6.0,2.0,size_nodes,Count the number of MALWARE nodes with high connection counts (node size 7-10),,Count the number of MALWARE nodes with high connection counts (node size 7-10),0.0,4.0,4.0,22.0,213.09031710001,,,,,,,,,213.07378370000515,213.09031710001,213.09031710001,228.086358200002,228.086389300006,228.1026093999972,229.086520900004,229.08656090000292,229.18136290000984,229.18136290000984,247.0855031000101,2.0,239.3492927000043,0.1436691999988397,247.09055740000625,247.1033303000004,247.1033303000004,251.0890171000065,251.08904020000773,251.08907149999868,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,6,2,semi_adapted,size_nodes,2,True,10.167929799994454,10.167929799994454,Anastasia,False,2,True,True,False,all adaptation levels,,,,,,,,,
samples/6 node/6_nodes_S00077/no_caption/fully_adapted.png,6.0,2.0,fully_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,0.0,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,0.0,5.0,5.0,12.0,251.107588400002,,,,,,,,,251.0895140000066,251.107588400002,251.107588400002,266.1009811999975,266.10100480000256,266.1168967999984,267.101705100009,267.1017597000028,267.1909175000037,267.1909175000037,285.0993118000042,0.0,274.805526199998,0.1351256000052672,285.10200850000547,285.11618330000783,285.11618330000783,289.103525700004,289.10353980000946,289.1035589000094,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,6,2,fully_adapted,,0,True,7.614608699994278,7.614608699994278,Anastasia,False,0,True,True,False,all adaptation levels,,,,,,,,,
samples/12 node/12_nodes_S00027/no_caption/non_adapted.png,12.0,2.0,non_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,0.0,6.0,6.0,31.0,289.1318698999967,,,,,,,,,289.1038058999984,289.1318698999967,289.1318698999967,304.1151069000043,304.11512040000525,304.133988600006,305.1197470000043,305.11983140000666,305.2263424999983,305.2263424999983,323.1143183000095,,,,323.12122650000674,323.14191449999635,323.14191449999635,327.11773870000616,327.1177536000032,327.11777399999846,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,12,2,non_adapted,,,False,,,Anastasia,False,5,True,False,False,all adaptation levels,,,,,,,,,
samples/6 node/6_nodes_S00131/no_caption/nodes_size_value.png,6.0,1.0,size_nodes,Count the number of nodes with high connection counts (node size 7-10),,Count the number of nodes with high connection counts (node size 7-10),0.0,7.0,7.0,18.0,327.1342083000054,,,,,,,,,327.118026199998,327.1342083000054,327.1342083000054,342.1304744000081,342.13049950001005,342.1465260999976,343.1308582000056,343.13093270000536,343.2343617000006,343.2343617000006,361.1293216000049,3.0,350.3493446000066,0.1596757999941473,361.1345300999965,361.14960640000936,361.14960640000936,365.13231919999816,365.1323444000009,365.1323895000096,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,6,1,semi_adapted,size_nodes,3,True,7.114982900005998,7.114982900005998,Anastasia,False,3,True,True,False,all adaptation levels,,,,,,,,,
samples/12 node/12_nodes_S00072/no_caption/fully_adapted.png,12.0,1.0,fully_adapted,How many CYBER OBSERVABLE nodes are in the graph?,3.0,How many CYBER OBSERVABLE nodes are in the graph?,0.0,8.0,8.0,32.0,365.17844240000704,,,,,,,,,365.1328790999978,365.17844240000704,365.17844240000704,380.14433019999706,380.1443442000018,380.1614938999992,381.14518490000046,381.14525570000114,381.2354633000068,381.2354633000068,399.144117600008,3.0,388.205237400005,0.1840465999994194,399.1524746000068,399.166312100002,399.166312100002,403.1467886000028,403.14680339999904,403.14682419999735,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,12,1,fully_adapted,,3,True,6.969774099998176,6.969774099998176,Anastasia,False,3,True,True,False,all adaptation levels,,,,,,,,,
samples/6 node/6_nodes_S00128/no_caption/nodes_color_type.png,6.0,1.0,color_nodes,How many nodes have TLP:GREEN?,1.0,How many nodes have TLP:GREEN?,0.0,9.0,9.0,17.0,403.1665478000068,,,,,,,,,403.1471489000105,403.1665478000068,403.1665478000068,418.1591377000004,418.1591606000002,418.1758087000053,419.1596293000039,419.15969460000633,419.2481243000075,419.2481243000075,437.1619275999983,1.0,424.5336528000044,0.1830913000012515,437.16494709999824,437.1873934000032,437.1873934000032,441.16213890000654,441.1621658000077,441.1622152000055,,,,,sphynx_12,1,2026-07-03_16h16.14.521,Practice Trials - SYMBIOTIK graphs_2023,2024.1.0,,2026-07-03 16h16.24.829624 +0200,,sphynx_12_Practice Trials - SYMBIOTIK graphs_2023_2026-07-03_16h16.14.521.csv,6,1,semi_adapted,color_nodes,1,True,5.2855284999969285,5.2855284999969285,Anastasia,False,1,True,True,False,all adaptation levels,,,,,,,,,
