analysis,modality,signal,condition_factor,level_a,level_b,n_paired,mean_z_a,mean_z_b,mean_r_a,mean_r_b,wilcoxon_stat,p_raw,pipeline,p_fdr_factor,p_fdr_global,p_bonferroni_factor,p_bonferroni_global,sig_raw_0.05,sig_fdr_factor,sig_fdr_global,sig_bonferroni_factor,sig_bonferroni_global
A_ISC_contrast_v2,eeg,gfp_isc,adaptation,non_adapted,fully_adapted,13,0.436722995327923,0.23008613357454807,0.4109244614281241,0.22611008379947173,7.0,0.004638671875,ica_faster,0.00927734375,0.0115966796875,0.02783203125,0.04638671875,True,True,True,True,True
A_ISC_contrast_v2,eeg,gfp_isc,adaptation,non_adapted,semi_adapted,13,0.436722995327923,0.11127974290755115,0.4109244614281241,0.11082267435312411,2.0,0.000732421875,ica_faster,0.00439453125,0.006103515625,0.00439453125,0.00732421875,True,True,True,True,True
A_ISC_contrast_v2,eeg,gfp_isc,adaptation,semi_adapted,fully_adapted,13,0.11127974290755115,0.23008613357454807,0.11082267435312411,0.22611008379947173,20.0,0.080322265625,ica_faster,0.1204833984375,0.11474609375,0.48193359375,0.80322265625,False,False,False,False,False
A_ISC_contrast_v2,eeg,gfp_isc,graph_nodes,6,12,13,0.2564870968657043,0.41895130448212237,0.2510068713672529,0.3960465948360524,3.0,0.001220703125,ica_faster,0.00244140625,0.006103515625,0.00244140625,0.01220703125,True,True,True,True,True
A_ISC_contrast_v2,eeg,gfp_isc,question_level,1,2,13,0.304270089817583,0.49972135748514634,0.2952154508911889,0.461897991270552,15.0,0.03271484375,ica_faster,0.0654296875,0.054524739583333336,0.0654296875,0.3271484375,True,False,False,False,False
A_ISC_contrast_v2,eeg,occ_isc,adaptation,non_adapted,fully_adapted,13,0.18975821612604094,0.22075577456460888,0.1875129339619293,0.2172382872983768,27.0,0.21630859375,ica_faster,0.2595703125,0.24034288194444445,1.0,1.0,False,False,False,False,False
A_ISC_contrast_v2,eeg,occ_isc,adaptation,non_adapted,semi_adapted,13,0.18975821612604094,0.25699631302628617,0.1875129339619293,0.2514839436249111,7.0,0.004638671875,ica_faster,0.00927734375,0.0115966796875,0.02783203125,0.04638671875,True,True,True,True,True
A_ISC_contrast_v2,eeg,occ_isc,adaptation,semi_adapted,fully_adapted,13,0.25699631302628617,0.22075577456460888,0.2514839436249111,0.2172382872983768,32.0,0.375732421875,ica_faster,0.375732421875,0.375732421875,1.0,1.0,False,False,False,False,False
A_ISC_contrast_v2,eeg,occ_isc,graph_nodes,6,12,13,0.2612220994565837,0.3217964109443957,0.2554382478376402,0.31113034143665885,10.0,0.010498046875,ica_faster,0.010498046875,0.02099609375,0.02099609375,0.10498046875,True,True,True,True,False
A_ISC_contrast_v2,eeg,occ_isc,question_level,1,2,13,0.28991629459499846,0.31193324390818816,0.28205776839995333,0.30219481861912534,26.0,0.19091796875,ica_faster,0.19091796875,0.2386474609375,0.3818359375,1.0,False,False,False,False,False
