analysis,modality,signal,condition_factor,condition_level,n_subjects,isc_mean_r,isc_mean_fisher_z,pipeline
A_timecourse_ISC_v2,eeg,gfp_isc,adaptation,non_adapted,13,0.4109244614281241,0.436722995327923,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adaptation,semi_adapted,13,0.11082267435312411,0.11127974290755115,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adaptation,fully_adapted,13,0.22611008379947173,0.23008613357454807,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,graph_nodes,6,13,0.2510068713672529,0.25648709686570437,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,graph_nodes,12,13,0.3960465948360524,0.41895130448212237,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,question_level,2,13,0.461897991270552,0.49972135748514634,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,question_level,1,13,0.2952154508911889,0.304270089817583,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,non_adapted_q2,13,0.31637046291246335,0.32760871029481353,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,semi_adapted_q2,13,0.3276957555916112,0.3402446106816842,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,fully_adapted_q1,13,0.12929160581115515,0.1300193455438085,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,fully_adapted_q2,13,0.2298083107914149,0.23398708022333062,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,semi_adapted_q1,13,0.21102019646762984,0.21423884897956402,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,non_adapted_q1,13,0.3109108184565196,0.32155337851186044,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,13,0.28335286891569,0.29132389394981195,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,13,0.31125568449415975,0.3219351938945008,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,13,0.1898285584558674,0.19215931285221885,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,13,0.2050960619936736,0.2080466437935605,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,semi_adapted_n6,13,0.05773788357301971,0.05780217176376122,ica_faster
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,fully_adapted_n12,13,0.16480031651794616,0.16631705551129647,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adaptation,non_adapted,13,0.1875129339619293,0.18975821612604094,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adaptation,semi_adapted,13,0.2514839436249111,0.25699631302628617,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adaptation,fully_adapted,13,0.2172382872983768,0.22075577456460888,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,graph_nodes,6,13,0.2554382478376402,0.2612220994565837,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,graph_nodes,12,13,0.31113034143665885,0.3217964109443957,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,question_level,2,13,0.30219481861912534,0.3119332439081882,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,question_level,1,13,0.28205776839995333,0.2899162945949985,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,non_adapted_q2,13,0.11681585162489778,0.11735159914033591,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,semi_adapted_q2,13,0.1852254911070623,0.18738846228344974,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,fully_adapted_q1,13,0.11841105805373574,0.1189691818310928,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,fully_adapted_q2,13,0.12936109111139013,0.13009001277502755,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,semi_adapted_q1,13,0.12398228131628103,0.12462347441808333,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,non_adapted_q1,13,0.12349034761261918,0.12412389175568193,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,non_adapted_n6,13,0.0833063212062093,0.08349984137011632,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,non_adapted_n12,13,0.15547721382785304,0.15674849601773688,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,semi_adapted_n12,13,0.17369621963167658,0.17547536572523573,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,fully_adapted_n6,13,0.13281350897486116,0.13360279764615993,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,semi_adapted_n6,13,0.14371525351057163,0.14471713404459685,ica_faster
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,fully_adapted_n12,13,0.13315572503924128,0.13395117473100518,ica_faster
