test_type,signal,condition_factor,level_a,level_b,n_paired,mean_z_diff_observed,mean_z_diff_null,mean_r_a,mean_r_b,n_perm,tail,p_raw,p_fdr_factor,p_fdr_global,p_bonferroni_factor,p_bonferroni_global,sig_raw_0.05,sig_fdr_factor,sig_fdr_global,sig_bonferroni_factor,sig_bonferroni_global,p_wilcoxon,p_fdr_factor_wilcoxon,wilcoxon_stat
contrast_sign_flip,gfp_isc,adaptation,non_adapted,fully_adapted,13,0.20663686175337492,-0.0011992443018220853,0.4109244614281241,0.22611008379947173,5000,a_gt_b,0.0013997200559888023,0.004199160167966407,0.0046657335199626745,0.008398320335932814,0.013997200559888023,True,True,True,True,True,0.004638671875,0.00927734375,7.0
contrast_sign_flip,gfp_isc,adaptation,non_adapted,semi_adapted,13,0.3254432524203719,0.0016817076052249344,0.4109244614281241,0.11082267435312411,5000,a_gt_b,0.0001999600079984003,0.0011997600479904018,0.001999600079984003,0.0011997600479904018,0.001999600079984003,True,True,True,True,True,0.000732421875,0.00439453125,2.0
contrast_sign_flip,gfp_isc,adaptation,semi_adapted,fully_adapted,13,-0.11880639066699696,-0.0007047216318074377,0.11082267435312411,0.22611008379947173,5000,two_sided,0.05698860227954409,0.08548290341931614,0.08141228897077726,0.34193161367726455,0.5698860227954409,False,False,False,False,False,0.080322265625,0.1204833984375,20.0
contrast_sign_flip,gfp_isc,graph_nodes,6,12,13,-0.16246420761641808,-0.000166161961761512,0.2510068713672529,0.3960465948360524,5000,two_sided,0.0011997600479904018,0.0023995200959808036,0.0046657335199626745,0.0023995200959808036,0.011997600479904018,True,True,True,True,True,0.001220703125,0.00244140625,3.0
contrast_sign_flip,gfp_isc,question_level,1,2,13,-0.19545126766756332,-0.0019655824789908257,0.2952154508911889,0.461897991270552,5000,two_sided,0.02439512097580484,0.04879024195160968,0.04065853495967473,0.04879024195160968,0.2439512097580484,True,True,True,True,False,0.03271484375,0.0654296875,15.0
contrast_sign_flip,occ_isc,adaptation,non_adapted,fully_adapted,13,-0.03099755843856798,0.00034006583552852697,0.1875129339619293,0.2172382872983768,5000,two_sided,0.20175964807038593,0.24211157768446312,0.2521995600879824,1.0,1.0,False,False,False,False,False,0.21630859375,0.2595703125,27.0
contrast_sign_flip,occ_isc,adaptation,non_adapted,semi_adapted,13,-0.06723809690024529,0.00022410000680307972,0.1875129339619293,0.2514839436249111,5000,two_sided,0.006798640271945611,0.013597280543891222,0.016996600679864027,0.04079184163167367,0.06798640271945611,True,True,True,True,False,0.004638671875,0.00927734375,7.0
contrast_sign_flip,occ_isc,adaptation,semi_adapted,fully_adapted,13,0.036240538461677324,-0.0006660345698192557,0.2514839436249111,0.2172382872983768,5000,two_sided,0.28794241151769645,0.28794241151769645,0.28794241151769645,1.0,1.0,False,False,False,False,False,0.375732421875,0.375732421875,32.0
contrast_sign_flip,occ_isc,graph_nodes,6,12,13,-0.06057431148781201,-0.00018630881933027362,0.2554382478376402,0.31113034143665885,5000,two_sided,0.009198160367926415,0.009198160367926415,0.01839632073585283,0.01839632073585283,0.09198160367926415,True,True,True,True,False,0.010498046875,0.010498046875,10.0
contrast_sign_flip,occ_isc,question_level,1,2,13,-0.022016949313189718,-0.00019332044774782853,0.28205776839995333,0.30219481861912534,5000,two_sided,0.2579484103179364,0.2579484103179364,0.2866093447977071,0.5158968206358728,1.0,False,False,False,False,False,0.19091796875,0.19091796875,26.0
