analysis,modality,signal,condition_factor,condition_level,n_subjects_v2,isc_mean_r_v2,isc_mean_fisher_z,pipeline,isc_mean_r_v1,n_subjects_v1,delta_r
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,fully_adapted_n12,13,0.16480031651794616,0.16631705551129647,ica_faster,0.1396855655868484,11,0.025114750931097773
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,fully_adapted_n6,13,0.2050960619936736,0.2080466437935605,ica_faster,0.2161658289323922,10,-0.011069766938718584
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,non_adapted_n12,13,0.31125568449415975,0.3219351938945008,ica_faster,0.3384681423591927,11,-0.027212457865032957
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,non_adapted_n6,13,0.28335286891569,0.29132389394981195,ica_faster,0.3214138025595586,10,-0.03806093364386859
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,semi_adapted_n12,13,0.1898285584558674,0.19215931285221885,ica_faster,0.1257700937094486,11,0.0640584647464188
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_nodes,semi_adapted_n6,13,0.05773788357301971,0.05780217176376122,ica_faster,0.058846274543856,10,-0.0011083909708362871
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,fully_adapted_q1,13,0.12929160581115515,0.1300193455438085,ica_faster,0.1667854276056666,11,-0.03749382179451144
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,fully_adapted_q2,13,0.2298083107914149,0.23398708022333062,ica_faster,0.2347208566175797,9,-0.004912545826164794
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,non_adapted_q1,13,0.3109108184565196,0.32155337851186044,ica_faster,0.3232443906761569,11,-0.012333572219637323
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,non_adapted_q2,13,0.31637046291246335,0.32760871029481353,ica_faster,0.3265898044159895,11,-0.010219341503526158
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,semi_adapted_q1,13,0.21102019646762984,0.21423884897956402,ica_faster,0.1677719454079115,11,0.04324825105971836
A_timecourse_ISC_v2,eeg,gfp_isc,adapt_x_q,semi_adapted_q2,13,0.3276957555916112,0.3402446106816842,ica_faster,0.325845593100981,10,0.0018501624906301917
A_timecourse_ISC_v2,eeg,gfp_isc,adaptation,fully_adapted,13,0.22611008379947173,0.23008613357454807,ica_faster,0.1776212014038031,11,0.04848888239566862
A_timecourse_ISC_v2,eeg,gfp_isc,adaptation,non_adapted,13,0.4109244614281241,0.436722995327923,ica_faster,0.4006554690677107,11,0.010268992360413398
A_timecourse_ISC_v2,eeg,gfp_isc,adaptation,semi_adapted,13,0.11082267435312411,0.11127974290755115,ica_faster,0.1498955619254896,11,-0.0390728875723655
A_timecourse_ISC_v2,eeg,gfp_isc,graph_nodes,12,13,0.3960465948360524,0.41895130448212237,ica_faster,0.429716734213139,11,-0.03367013937708657
A_timecourse_ISC_v2,eeg,gfp_isc,graph_nodes,6,13,0.2510068713672529,0.25648709686570437,ica_faster,0.3017389998765101,10,-0.05073212850925718
A_timecourse_ISC_v2,eeg,gfp_isc,question_level,1,13,0.2952154508911889,0.304270089817583,ica_faster,0.3787273738767691,11,-0.08351192298558019
A_timecourse_ISC_v2,eeg,gfp_isc,question_level,2,13,0.461897991270552,0.49972135748514634,ica_faster,0.4349446472901432,11,0.026953343980408773
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,fully_adapted_n12,13,0.13315572503924128,0.13395117473100518,ica_faster,0.0613358277882144,11,0.07181989725102689
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,fully_adapted_n6,13,0.13281350897486116,0.13360279764615993,ica_faster,0.087745001134853,10,0.045068507840008154
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,non_adapted_n12,13,0.15547721382785304,0.15674849601773688,ica_faster,0.160855056675178,11,-0.005377842847324954
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,non_adapted_n6,13,0.0833063212062093,0.08349984137011632,ica_faster,0.0623979991431785,10,0.020908322063030803
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,semi_adapted_n12,13,0.17369621963167658,0.17547536572523573,ica_faster,0.0793676196672873,11,0.09432859996438929
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_nodes,semi_adapted_n6,13,0.14371525351057163,0.14471713404459685,ica_faster,0.0752255134577096,10,0.06848974005286203
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,fully_adapted_q1,13,0.11841105805373574,0.1189691818310928,ica_faster,0.0363875984194733,11,0.08202345963426244
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,fully_adapted_q2,13,0.12936109111139013,0.13009001277502755,ica_faster,0.1159585043141073,9,0.013402586797282831
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,non_adapted_q1,13,0.12349034761261918,0.12412389175568193,ica_faster,0.1566730648225009,11,-0.033182717209881724
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,non_adapted_q2,13,0.11681585162489778,0.11735159914033591,ica_faster,0.0739488679130679,11,0.042866983711829884
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,semi_adapted_q1,13,0.12398228131628103,0.12462347441808333,ica_faster,0.0362276845535369,11,0.08775459676274414
A_timecourse_ISC_v2,eeg,occ_isc,adapt_x_q,semi_adapted_q2,13,0.1852254911070623,0.18738846228344974,ica_faster,0.1178824503643632,10,0.06734304074269909
A_timecourse_ISC_v2,eeg,occ_isc,adaptation,fully_adapted,13,0.2172382872983768,0.22075577456460888,ica_faster,0.1007692209982211,11,0.1164690663001557
A_timecourse_ISC_v2,eeg,occ_isc,adaptation,non_adapted,13,0.1875129339619293,0.18975821612604094,ica_faster,0.1716950813275209,11,0.015817852634408408
A_timecourse_ISC_v2,eeg,occ_isc,adaptation,semi_adapted,13,0.2514839436249111,0.25699631302628617,ica_faster,0.1325833248342661,11,0.11890061879064501
A_timecourse_ISC_v2,eeg,occ_isc,graph_nodes,12,13,0.31113034143665885,0.3217964109443957,ica_faster,0.1951841265521395,11,0.11594621488451937
A_timecourse_ISC_v2,eeg,occ_isc,graph_nodes,6,13,0.2554382478376402,0.2612220994565837,ica_faster,0.1667440399104452,10,0.08869420792719498
A_timecourse_ISC_v2,eeg,occ_isc,question_level,1,13,0.28205776839995333,0.2899162945949985,ica_faster,0.179508333943112,11,0.10254943445684134
A_timecourse_ISC_v2,eeg,occ_isc,question_level,2,13,0.30219481861912534,0.3119332439081882,ica_faster,0.1994492478235289,11,0.10274557079559643
