graph_image_non,number_of_nodes,question_level_non,adaptation_non,question,clipgaze__saliency_mean_non,clipgaze__saliency_std_non,clipgaze__saliency_entropy_non,clipgaze__saliency_center_bias_non,clipgaze__saliency_spread_non,clipgaze__saliency_skewness_non,clipgaze__saliency_kurtosis_non,clipgaze__fixation_count_non,clipgaze__fixation_duration_mean_non,clipgaze__fixation_duration_std_non,clipgaze__scanpath_length_non,clipgaze__scanpath_complexity_non,clipgaze__mean_saccade_mag_non,clipgaze__cognitive_load_non,clipgaze__info_processing_idx_non,low_level__digital_ink_non,low_level__mark_density_non,low_level__data_utility_non,low_level__effectiveness_non,sum__saliency_mean_non,sum__saliency_std_non,sum__saliency_entropy_non,sum__saliency_center_bias_non,sum__saliency_spread_non,sum__saliency_skewness_non,sum__saliency_kurtosis_non,visalformer__saliency_mean_non,visalformer__saliency_std_non,visalformer__saliency_entropy_non,visalformer__saliency_center_bias_non,visalformer__saliency_spread_non,visalformer__saliency_skewness_non,visalformer__saliency_kurtosis_non,n_trials_non,n_participants_non,response_rate_non,accuracy_non,rt_mean_non,rt_median_non,et_n_fixations_non,et_mean_fix_dur_non,et_sum_fix_dur_non,et_mean_saccade_mag_non,n_et_trials_non,graph_image_full,question_level_full,adaptation_full,clipgaze__saliency_mean_full,clipgaze__saliency_std_full,clipgaze__saliency_entropy_full,clipgaze__saliency_center_bias_full,clipgaze__saliency_spread_full,clipgaze__saliency_skewness_full,clipgaze__saliency_kurtosis_full,clipgaze__fixation_count_full,clipgaze__fixation_duration_mean_full,clipgaze__fixation_duration_std_full,clipgaze__scanpath_length_full,clipgaze__scanpath_complexity_full,clipgaze__mean_saccade_mag_full,clipgaze__cognitive_load_full,clipgaze__info_processing_idx_full,low_level__digital_ink_full,low_level__mark_density_full,low_level__data_utility_full,low_level__effectiveness_full,sum__saliency_mean_full,sum__saliency_std_full,sum__saliency_entropy_full,sum__saliency_center_bias_full,sum__saliency_spread_full,sum__saliency_skewness_full,sum__saliency_kurtosis_full,visalformer__saliency_mean_full,visalformer__saliency_std_full,visalformer__saliency_entropy_full,visalformer__saliency_center_bias_full,visalformer__saliency_spread_full,visalformer__saliency_skewness_full,visalformer__saliency_kurtosis_full,n_trials_full,n_participants_full,response_rate_full,accuracy_full,rt_mean_full,rt_median_full,et_n_fixations_full,et_mean_fix_dur_full,et_sum_fix_dur_full,et_mean_saccade_mag_full,n_et_trials_full,delta_rt_median,delta_accuracy,delta_response_rate,delta_et_n_fixations,delta_et_mean_fix_dur,delta_et_mean_saccade_mag
samples/6 node/6_nodes_s00002/no_caption/non_adapted.png,6,1,non_adapted,How many CYBER OBSERVABLE nodes are in the graph?,0.0283872445891445,0.1113516650426072,18.146536880557647,0.2295399005381601,250.0141723234575,5.150529064660734,28.99091885209176,3.0,204.0603535970052,29.585468038913856,133.93721131683998,1.0070660120366135,66.96860565841999,205.5022465117173,0.0005653939375688,761.5736,3.426399999999944,13.0,0.01706992,0.0355745264327453,0.0801501991716743,14.426293708653745,0.3299148608647574,66.40361087023165,5.9875575899790565,46.50792837533434,0.2454900807286433,0.2031510285864973,21.270828995228037,0.5203304493147881,693.3421232600077,1.2062074636556992,0.972104492984318,13,13,1.0,1.0,6.796932092312195,6.689581099999714,36.0,0.3653971794871795,13.86275,535.7549875675675,11,samples/6 node/6_nodes_s00065/no_caption/fully_adapted.png,1,fully_adapted,0.0256057878969433,0.1027498797963272,18.120677427080448,0.2424077421973706,260.58146050575573,5.440759230198853,33.057962601812136,3.0,205.98917643229169,28.23493475729814,138.94431597840182,1.0025386529572484,69.47215798920091,206.51211146420263,0.0006066681319997,760.2033,4.796699999999987,13.0,0.01710069,0.0547266136353342,0.1051384335043228,14.427264840474267,0.3881568914083099,66.80634814376539,3.651309548577309,17.88595415842271,0.2828039001649258,0.2220768675911727,21.277628874330272,0.5100688257479686,658.4045866071652,0.7221500811342064,-0.5107775948510973,13,13,1.0,1.0,5.014160723067037,4.774466699978802,40.0,0.308496,12.841779999999998,444.3524495,11,1.9151144000209115,0.0,0.0,-4.0,0.05690117948717949,91.40253806756749
samples/6 node/6_nodes_s00005/no_caption/non_adapted.png,6,1,non_adapted,How many nodes have TLP:GREEN?,0.035645625718653,0.1314423657534976,18.304098855059,0.2627236765720643,282.25824149055376,4.725449540907541,23.596406552270988,3.0,202.34512837727863,31.63902562269334,159.7252074717063,1.0119535410161498,79.86260373585316,204.76386916875452,0.0008123455221558,761.6394,3.3605999999999767,13.0,0.01706844,0.0367908832152201,0.0778109544414917,14.519853762123294,0.3820910219546429,71.35848293295506,5.951940263947475,47.33992161388688,0.4275314023751761,0.2265335763229533,21.51871391638629,0.4611953827664639,662.706990402161,0.325639189642274,-0.8944318739777231,13,13,1.0,1.0,7.483115776928082,6.643763000029139,35.0,0.3678382051282051,12.872420000000002,551.0846315789473,11,samples/6 node/6_nodes_s00068/no_caption/fully_adapted.png,1,fully_adapted,0.0378996645763441,0.1370192250355058,18.340692818274285,0.2604803890370812,281.7305260301748,4.567101769311684,21.798779598991093,3.0,203.15484619140625,31.41099145080312,158.77133290554147,1.0103190177937194,79.38566645277074,205.25120466413568,0.0008228389184826,759.8104,5.189600000000041,13.0,0.01710953,0.0602074773973802,0.1066557562538652,14.59103575281473,0.3399962521876919,62.90782033567331,3.558155444978348,17.430572317529627,0.1890116798526325,0.119221152857115,21.44137673656316,0.4916117810177236,692.1830072490764,1.212833297749287,4.647650312484068,13,13,1.0,0.9230769230769231,6.840482776923183,5.525396600016393,41.0,0.33241576068376066,13.665840000000001,448.4172140603086,12,1.1183664000127465,0.07692307692307687,0.0,-6.0,0.03542244444444442,102.66741751863873
samples/6 node/6_nodes_s00008/no_caption/non_adapted.png,6,1,non_adapted,Count the number of nodes with high connection counts (node size 7-10),0.036484289106606,0.1194694036741426,18.567965631395086,0.2583470867488744,263.91652424424234,4.149270740828315,18.822647543662598,5.0,191.20626831054688,25.98531887624649,183.6844500433384,1.3804049598493509,45.9211125108346,263.94208113016464,0.0004619679434254,761.646,3.354000000000042,13.0,0.0170683,0.0469244153044371,0.0893730106166915,14.642712214977127,0.3412004237821632,72.65080354389573,4.852354540784515,31.84554834367121,0.2020624529636716,0.2232578450616674,21.00860474584609,0.392973233982164,560.9195735076108,1.676981683456498,2.1179099731187723,13,13,1.0,0.9230769230769231,7.382996246158511,6.603018699999723,38.0,0.3460151648351648,13.93582,523.2040884075798,12,samples/6 node/6_nodes_s00071/no_caption/fully_adapted.png,1,fully_adapted,0.0367185349717929,0.1209862523225331,18.55065787048713,0.2623746975452865,265.6192691389488,4.150875859819408,18.65797542468968,5.0,190.91090698242184,25.96330102732225,177.79354470340206,1.3038110947511796,44.44838617585052,248.91175863269208,0.0004494323570325,761.486,3.51400000000001,13.0,0.01707188,0.0634370099436083,0.1115193468817916,14.60752075214868,0.3375720100629139,67.78709024378969,3.3481816791530696,14.19086367246523,0.2587498142257576,0.2572554515890651,21.03667290389951,0.4597722403875796,579.2320504893866,0.9769771072118536,-0.1461822697745667,13,13,1.0,0.8461538461538461,6.710586576910968,5.748065799998585,41.0,0.323137380952381,13.393549999999998,433.7946534782609,11,0.8549529000011376,0.07692307692307698,0.0,-3.0,0.02287778388278383,89.40943492931888
samples/6 node/6_nodes_s00014/no_caption/non_adapted.png,6,1,non_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,0.0321023344546169,0.1244976533567388,18.118535554872462,0.2015340749401152,213.15127518417884,4.78313778649767,24.054040602121404,5.0,182.38990478515623,30.890500285154825,124.89048995638176,1.0601032287411591,31.222622489095443,193.35212695253676,0.0002334102832334,762.1584,2.8415999999999713,13.0,0.01705682,0.0630756684811169,0.1173084799672772,14.445812845193492,0.3457270344081606,62.94651830869642,3.0473240824820444,11.131817574139278,0.2480963429237827,0.2620179383380039,21.02036368565113,0.5778394863662719,658.6989871329166,1.3107561127277805,0.6125914542345079,13,13,1.0,1.0,6.314414192304307,5.8220101000038085,40.5,0.3317067045454545,12.93261,397.0508081450578,10,samples/6 node/6_nodes_s00074/no_caption/fully_adapted.png,1,fully_adapted,0.0355154668183865,0.1290107902572449,18.271591604664227,0.2312089543923787,242.13170982986267,4.38141923338948,19.82645641181832,5.0,183.22617797851564,31.432450322989645,138.3711793686616,1.0619543560541458,34.5927948421654,194.57783784743688,0.0003064359973373,758.5779,6.4221,13.0,0.01713733,0.061282409225031,0.1150239625389801,14.54320225052718,0.3926914779557671,73.85961393675436,3.743532541134957,16.867318374537508,0.3067392956909271,0.2144494310586257,21.35528045571338,0.4817957633913871,670.1401029504567,0.545427720366457,-0.2733704547841724,13,13,1.0,1.0,3.4524674769319117,3.5211013000226785,41.0,0.31519978678678684,13.078095,478.80187852777783,12,2.30090879998113,0.0,0.0,-0.5,0.01650691775866764,-81.75107038272006
samples/6 node/6_nodes_s00017/no_caption/non_adapted.png,6,2,non_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,0.0278733684209485,0.1129140934807695,18.010503484286083,0.2003712923292006,208.8720384345353,5.052155784403891,27.23633134506154,5.0,193.3013488769531,27.75108849083984,121.21671828306118,1.024033701403021,30.304179570765296,197.947095776663,0.0002054878828933,761.7812,3.2187999999999874,13.0,0.01706527,0.0624863063814223,0.1239620805637127,14.444276782653318,0.3340712812976708,69.64962061841263,3.636179312668365,15.322059957016409,0.2416583851997756,0.1459395617902577,21.498779831210943,0.5527290004550859,777.0126726494403,1.7484775557391052,5.121713542759634,13,13,1.0,1.0,10.675471461545753,10.115280700003268,34.5,0.37762610974610966,14.064945000000002,428.9601404924242,12,samples/6 node/6_nodes_s00077/no_caption/fully_adapted.png,2,fully_adapted,0.0287967741173405,0.1155557178472313,18.027466575372163,0.1987975348668656,212.87208851019648,4.944620580262794,25.76652611306251,5.0,191.1621032714844,28.32452691685412,120.58732003329446,1.018797246762983,30.14683000832361,194.75542449840933,0.0002182936409768,761.4417,3.558300000000031,13.0,0.01707288,0.072541325927782,0.1215350411725189,14.60930641915826,0.4297467146674145,72.50383907450204,2.6603426820944303,8.650424731365526,0.2828988811145802,0.2069386911038458,21.328638346288,0.4512391056562895,647.9022384705571,0.7014647880490383,-0.0308590460856788,13,13,0.9230769230769231,0.7692307692307693,8.433853224992164,7.695330749980684,44.5,0.31009062717770036,14.138285,376.8460744444444,12,2.419949950022584,0.23076923076923073,0.07692307692307687,-10.0,0.0675354825684093,52.114066047979804
samples/6 node/6_nodes_s00020/no_caption/non_adapted.png,6,2,non_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,0.0452806826814699,0.143991510209561,18.61094678285963,0.2517414632224583,252.929018430606,3.799321109716658,14.622433013935726,6.0,190.7047856648763,23.429584908073675,267.4885994562524,3.5779405550936487,53.49771989125048,682.3303866808028,0.00050798813329,761.8606,3.1394000000000233,13.0,0.01706349,0.0462177336714851,0.0894088927392186,14.56949470250206,0.3579119373163828,67.3642028998152,4.6805088232600935,29.55945836319342,0.3533771357621213,0.2726584999370996,21.286216210167023,0.4996523891118021,632.9946305667634,0.6263676821326292,-0.7742632830812863,13,13,0.7692307692307693,0.23076923076923078,12.820591489999515,12.2596955500087,35.0,0.4210806451612902,14.651369999999998,387.4017678947369,11,samples/6 node/6_nodes_s00080/no_caption/fully_adapted.png,2,fully_adapted,0.0444575229005164,0.1403306838719337,18.63703960256645,0.2548260931174292,255.83055989141783,3.8163393326433113,14.941804361447245,6.0,191.52999623616537,22.72099278041999,275.73652987016635,3.7928813087716087,55.14730597403327,726.4505427932482,0.0005328868876437,759.5053,5.494699999999966,13.0,0.01711641,0.061199455379609,0.1172400453591476,14.485472952998435,0.32009966298137,65.80691781850602,3.5603575572181927,15.024910753548111,0.156671770075709,0.1872440385207552,20.95073811375446,0.5789097556135061,700.5172672592045,2.020956861203884,3.889941202460186,13,13,0.9230769230769231,0.23076923076923078,8.955798008321002,9.43056944997079,41.0,0.2984481818181818,13.31446,422.3450056410256,11,2.829126100037911,0.0,-0.15384615384615385,-6.0,0.1226324633431084,-34.94323774628867
samples/6 node/6_nodes_s00023/no_caption/non_adapted.png,6,2,non_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),0.0268979804398056,0.1053625461695799,18.118815008312147,0.2349963532238489,225.29701984834728,5.097294811657792,29.104853491961507,6.0,205.483876546224,24.489523827535844,139.89142690821103,1.234027606097797,27.978285381642205,253.57277626603204,0.0002181140378243,761.8122,3.1878000000000384,13.0,0.01706457,0.0505314331935841,0.1017679786189943,14.434440511452271,0.35286827443829,64.75900770724725,4.070501944083566,21.271217288146097,0.2196165244956322,0.2068464684948179,21.1446219140902,0.4511112894317491,609.4805848475231,1.2512436244423686,1.0273189094800248,13,13,0.8461538461538461,0.7692307692307693,10.833888745448636,10.23614760000008,33.5,0.44496077205882345,15.09145,485.18412679450756,12,samples/6 node/6_nodes_s00083/no_caption/fully_adapted.png,2,fully_adapted,0.0260871016346839,0.1024143901291155,18.12064836530245,0.2364724197676559,227.1756551431241,5.179581321301849,30.46484922389065,6.0,205.25655873616537,24.51727411359547,138.91100346106975,1.1976434571336478,27.78220069221395,245.82417460413677,0.0002202837063656,759.8467,5.153299999999945,13.0,0.01710871,0.0694906088818286,0.1197750641358741,14.57302501276539,0.3569710949743982,69.20604398846596,2.836510705903925,10.008022751424036,0.1661987695777284,0.1749801522583412,21.032481516172563,0.5123943161919674,680.6120309723409,1.562532789509622,2.3451531240939527,13,13,0.9230769230769231,0.6923076923076923,6.438938891658779,6.058575800001563,40.0,0.302988530058651,12.827765,421.49032155789473,10,4.177571799998518,0.07692307692307698,-0.07692307692307698,-6.5,0.14197224200017244,63.69380523661283
samples/6 node/6_nodes_s00026/no_caption/non_adapted.png,6,2,non_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,0.0202652389204163,0.087998596321526,17.940451895305564,0.1522775861901716,213.376722443015,6.323324932386521,47.30003857118521,5.0,174.97481384277344,32.1360343531286,144.9605378092905,1.267798739915057,36.24013445232263,221.83284850673985,0.0002899177393663,762.2653,2.7346999999999753,13.0,0.01705443,0.0609251297383944,0.1091834714710894,14.525623655836084,0.3328319137443782,68.80812721254671,3.2391319960740037,14.124574809125011,0.3506854121614528,0.2141801642821819,21.468452568942197,0.530819546871032,726.3666406816521,1.0170955636448404,0.7886548953337198,13,13,0.9230769230769231,0.8461538461538461,10.086327375009878,9.711185349995501,36.0,0.3596637994186046,14.193110000000003,375.2284941372843,12,samples/6 node/6_nodes_s00086/no_caption/fully_adapted.png,2,fully_adapted,0.0288620780063429,0.1150857958267842,18.05647219391457,0.1996354331394493,211.31617670598465,4.994708722052871,26.66376919760817,5.0,174.64933166503906,32.6320459151952,122.41538291494646,1.0104764926289242,30.603845728736616,176.47904410087438,0.0002256324859649,760.0199,4.980099999999993,13.0,0.01710482,0.058426586213393,0.1073413069657375,14.595044947955556,0.369294452391481,63.46566412738411,3.7886266095308616,18.8460610444772,0.3789268277437105,0.2378332532520043,21.407514102269698,0.4929111712235923,670.8415491459069,0.2454679403905755,-0.7356461057659782,13,13,0.9230769230769231,0.9230769230769231,7.955336191650683,7.813012449987696,43.0,0.2890135555555556,12.92221,425.6855923913044,11,1.8981729000078058,-0.07692307692307698,0.0,-7.0,0.07065024386304902,-50.45709825402008
samples/12 node/12_nodes_s00003/no_caption/non_adapted.png,12,1,non_adapted,How many CYBER OBSERVABLE nodes are in the graph?,0.0328012990801678,0.1260443254450092,18.155413709474324,0.2095972216512747,233.6599386688379,4.813207273992153,24.53546603946484,3.0,202.10919189453125,31.296954424296047,125.31830700021963,1.0131928752847708,62.65915350010982,204.7755932571016,0.0005205792497415,760.2617,4.738299999999981,25.0,0.03288341,0.05825184673128,0.1135886150121098,14.438393186960536,0.318197977940074,61.805136441286464,3.697479379066583,16.673951088248337,0.2622857988476669,0.1817182933387602,21.43288972046721,0.5635120881299525,765.1756564129199,1.5925886051927447,2.6461556905174373,13,13,1.0,1.0,9.407626076924211,8.803207400022075,38.0,0.3426057619047619,14.13672,389.3257286845238,12,samples/12 node/12_nodes_s00072/no_caption/fully_adapted.png,1,fully_adapted,0.0287191632501201,0.112341687061402,18.1510751767938,0.2272423737010122,247.37839657761168,5.121369619956665,28.601940429675217,3.0,207.06185404459637,27.340117598651272,132.84721144974566,1.016840273601786,66.42360572487283,210.54883231920044,0.0005856487002633,759.4647,5.5353000000000065,25.0,0.03291792,0.0756520920716293,0.1373753666687115,14.424758283977548,0.2895852911107968,59.93089233974707,2.7227788324164752,8.352326637058862,0.3774507587167205,0.2479278721153685,21.419596124653367,0.5100258069433491,681.8054032756994,0.662013406846251,-0.5754496676106271,13,13,1.0,0.8461538461538461,7.210421646163223,6.832855199998448,42.5,0.33078467385138965,14.20196,349.6542191217219,12,1.9703522000236262,0.15384615384615385,0.0,-4.5,0.01182108805337223,39.67150956280193
samples/12 node/12_nodes_s00006/no_caption/non_adapted.png,12,1,non_adapted,How many nodes have TLP:GREEN?,0.0379053487620633,0.1359354256774384,18.34758422724904,0.251400762905349,274.65528470948163,4.481956455151892,20.88937131985336,3.0,203.04654439290368,31.612262567119807,154.32704804731023,1.0106359558879874,77.16352402365511,205.20613848227484,0.0007788783885746,759.8392,5.160799999999995,25.0,0.0329017,0.0431012144603381,0.0913122545768034,14.342214587889249,0.3027936947772137,56.75791897554533,4.490010585973847,26.63979590503387,0.3833440095619883,0.2462810344213413,21.414516112557404,0.5213879357503813,688.5851001810565,0.4164791055126283,-0.8371825240963382,13,13,0.9230769230769231,0.8461538461538461,10.51698601666942,10.28660194999975,38.5,0.34394811624649846,14.353774999999999,403.872318248194,12,samples/12 node/12_nodes_s00075/no_caption/fully_adapted.png,1,fully_adapted,0.0378964617254804,0.1360574458906556,18.341805279083776,0.2487133659100783,272.20466931523714,4.479186838741677,20.859396623699105,3.0,202.18839518229169,32.760456613513355,154.11882159815872,1.009217516620204,77.05941079907936,204.0520700752968,0.0007796304980454,757.9385,7.061500000000024,25.0,0.03298421,0.0645657338842424,0.1255160811966763,14.377158571014869,0.2943796030582164,56.5068498579975,3.314092303534026,13.260395948720207,0.3756487080533911,0.2459866100720401,21.383598847190093,0.4302524814099075,626.4339312169222,0.2353556274309651,-1.0402700253333292,13,13,1.0,0.9230769230769231,4.648522761538725,4.56341619999148,41.5,0.3019955950752394,13.070454999999999,432.1757600119047,12,5.723185750008269,-0.07692307692307698,-0.07692307692307687,-3.0,0.04195252117125908,-28.30344176371068
