kind,source,feature,outcome,n,spearman_r,p_raw,mean_feature_delta,mean_outcome_delta,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
paired_non_minus_full,clipgaze,saliency_mean,delta_rt_median,16,0.13529411764705881,0.6173674089706421,-0.0012672280996495994,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,saliency_mean,delta_accuracy,16,0.3207276320366669,0.22583222519447074,-0.0012672280996495994,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,clipgaze,saliency_mean,delta_response_rate,16,-0.2587372635261529,0.3332392140622625,-0.0012672280996495994,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,saliency_mean,delta_et_n_fixations,16,0.23633910036496203,0.3781817282374179,-0.0012672280996495994,-5.90625,0.6649368343724686,False,False
paired_non_minus_full,clipgaze,saliency_mean,delta_et_mean_fix_dur,16,0.047058823529411764,0.8626036946668733,-0.0012672280996495994,0.07918801908214973,0.9739022165316701,False,False
paired_non_minus_full,clipgaze,saliency_mean,delta_et_mean_saccade_mag,16,0.27941176470588236,0.2946176535684143,-0.0012672280996495994,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,clipgaze,saliency_std,delta_rt_median,16,0.15588235294117647,0.5642819694728023,-0.003344860329454369,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,saliency_std,delta_accuracy,16,0.31924278188834904,0.2281097474243818,-0.003344860329454369,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,clipgaze,saliency_std,delta_response_rate,16,-0.2587372635261529,0.3332392140622625,-0.003344860329454369,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,saliency_std,delta_et_n_fixations,16,0.2732670847969874,0.30580583979664044,-0.003344860329454369,-5.90625,0.6649368343724686,False,False
paired_non_minus_full,clipgaze,saliency_std,delta_et_mean_fix_dur,16,0.01764705882352941,0.9482801500547113,-0.003344860329454369,0.07918801908214973,0.9913748045563624,False,False
paired_non_minus_full,clipgaze,saliency_std,delta_et_mean_saccade_mag,16,0.25,0.35039147910720203,-0.003344860329454369,-2.1825431256641146,0.5982975602745494,False,False
