kind,source,feature,outcome,n,spearman_r,p_raw,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
stimulus_raw,clipgaze,saliency_mean,rt_median,48,-0.22210160660008685,0.1292100009546632,0.25081941361787563,False,False
stimulus_raw,clipgaze,saliency_mean,accuracy,48,0.03401073382106693,0.8184893556734848,0.8941453100791935,False,False
stimulus_raw,clipgaze,saliency_mean,response_rate,48,-0.03382897692671456,0.8194431405638842,0.9209696226583912,False,False
stimulus_raw,clipgaze,saliency_mean,et_n_fixations,48,0.0964646723606093,0.5142504355345391,0.915789156665864,False,False
stimulus_raw,clipgaze,saliency_mean,et_mean_fix_dur,48,-0.19268345636126788,0.18948781657104008,0.4810075343726402,False,False
stimulus_raw,clipgaze,saliency_mean,et_mean_saccade_mag,48,0.2153712548849327,0.1415297185523703,0.26940470726462384,False,False
stimulus_raw,clipgaze,saliency_std,rt_median,48,-0.23339122883195831,0.11037843387139648,0.22765551985975524,False,False
stimulus_raw,clipgaze,saliency_std,accuracy,48,0.08891298809299994,0.5478655275590624,0.8215602131387703,False,False
stimulus_raw,clipgaze,saliency_std,response_rate,48,-0.027582675885401642,0.8523691614135196,0.9209696226583912,False,False
stimulus_raw,clipgaze,saliency_std,et_n_fixations,48,0.09145634851344446,0.536427887217165,0.915789156665864,False,False
stimulus_raw,clipgaze,saliency_std,et_mean_fix_dur,48,-0.20950933564915328,0.15295301901102357,0.4588590570330707,False,False
stimulus_raw,clipgaze,saliency_std,et_mean_saccade_mag,48,0.16695614415979157,0.2567113678173947,0.398874978139521,False,False
stimulus_raw,clipgaze,saliency_entropy,rt_median,48,-0.24033868866695612,0.09987897723582918,0.2197337499188242,False,False
stimulus_raw,clipgaze,saliency_entropy,accuracy,48,0.0013229458860706744,0.9928797478577251,0.9928797478577253,False,False
stimulus_raw,clipgaze,saliency_entropy,response_rate,48,-0.002102715202026134,0.9886831583185014,0.9886831583185014,False,False
stimulus_raw,clipgaze,saliency_entropy,et_n_fixations,48,0.09189185493493708,0.5344811074210855,0.915789156665864,False,False
