question_id,graph_image,file_name,number_of_nodes,question_level,visualisation_type,adaptation,question,digital_ink,data_utility,effectiveness,image_path,error
1,samples/6 node/6_nodes_S00002/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,How many CYBER OBSERVABLE nodes are in the graph?,761.5736,13,0.01706992,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00002/no_caption/non_adapted.png,
2,samples/6 node/6_nodes_S00005/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,How many nodes have TLP:GREEN?,761.6394,13,0.01706844,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00005/no_caption/non_adapted.png,
3,samples/6 node/6_nodes_S00008/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,Count the number of nodes with high connection counts (node size 7-10),761.646,13,0.0170683,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00008/no_caption/non_adapted.png,
4,samples/6 node/6_nodes_S00014/no_caption/non_adapted.png,non_adapted.png,6,1,non_adapted,non_adapted,How many low confidence (confidence 1-3) edges exist in the graph?,762.1584,13,0.01705682,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00014/no_caption/non_adapted.png,
5,samples/6 node/6_nodes_S00017/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of MALWARE nodes connected with at least 1 high confidence edge ( confidence 7-10).,761.7812,13,0.01706527,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00017/no_caption/non_adapted.png,
6,samples/6 node/6_nodes_S00020/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of nodes with TLP:RED connected to at least 1 node with high connection count (node size 7-10).,761.8606,13,0.01706349,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00020/no_caption/non_adapted.png,
7,samples/6 node/6_nodes_S00023/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of MALWARE nodes with high connection counts (node size 7-10),761.8122,13,0.01706457,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00023/no_caption/non_adapted.png,
8,samples/6 node/6_nodes_S00026/no_caption/non_adapted.png,non_adapted.png,6,2,non_adapted,non_adapted,Count the number of ATTACK PATTERN nodes connected with at least 1 low confidence edge? (confidence of 1-3).,762.2653,13,0.01705443,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00026/no_caption/non_adapted.png,
9,samples/6 node/6_nodes_S00065/no_caption/fully_adapted.png,fully_adapted.png,6,1,fully_adapted,fully_adapted,How many CYBER OBSERVABLE nodes are in the graph?,760.2033,13,0.01710069,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00065/no_caption/fully_adapted.png,
10,samples/6 node/6_nodes_S00068/no_caption/fully_adapted.png,fully_adapted.png,6,1,fully_adapted,fully_adapted,How many nodes have TLP:GREEN?,759.8104,13,0.01710953,/home/user/Documents/sphynx pilots stuff/All data/post_analysis/images/samples/6 node/6_nodes_S00068/no_caption/fully_adapted.png,
