domain,signal,factor,level_a,level_b,n,mean_a,mean_b,cohens_d,mean_diff,ci_lo,ci_hi
eeg_isc_v2_antialias,gfp_isc,adaptation,non_adapted,fully_adapted,13,0.4109244614281241,0.2261100837994717,0.8981997190380693,0.20663686175337492,0.09189427199593246,0.3326703780137891
eeg_isc_v2_antialias,gfp_isc,adaptation,non_adapted,semi_adapted,13,0.4109244614281241,0.1108226743531241,1.511862259203642,0.3254432524203719,0.21307612313915733,0.4372536236083397
eeg_isc_v2_antialias,gfp_isc,graph_nodes,6,12,13,0.2510068713672528,0.3960465948360524,-1.3829378508225438,-0.1624642076164181,-0.22374346628765385,-0.10175571467755219
eeg_isc_v2_antialias,gfp_isc,question_level,1,2,13,0.2952154508911889,0.461897991270552,-0.7549140795191087,-0.19545126766756332,-0.3233384822788191,-0.05713782186644157
eeg_isc_v2_antialias,occ_isc,adaptation,non_adapted,fully_adapted,13,0.18751293396192925,0.2172382872983768,-0.37464099338938617,-0.030997558438567982,-0.07243226933518229,0.01265668084114628
eeg_isc_v2_antialias,occ_isc,adaptation,non_adapted,semi_adapted,13,0.18751293396192925,0.2514839436249111,-0.8919150586075709,-0.0672380969002453,-0.10800617964758762,-0.028261059662395154
eeg_isc_v2_antialias,occ_isc,graph_nodes,6,12,13,0.25543824783764013,0.31113034143665885,-0.8957782281344351,-0.06057431148781201,-0.09327767943855746,-0.023199862948038445
eeg_isc_v2_antialias,occ_isc,question_level,1,2,13,0.2820577683999533,0.30219481861912534,-0.3323152159462624,-0.022016949313189725,-0.05594192879170148,0.013210469147618017
multimodal_isc,eda_isc,adaptation,non_adapted,fully_adapted,11,0.41569135437098403,0.005751124512362763,1.2091330027121974,0.4367207792836613,0.24170442234147343,0.653321513976558
multimodal_isc,eda_isc,adaptation,non_adapted,semi_adapted,11,0.41569135437098403,0.5159419572157351,-0.19583710183981665,-0.12832176081470667,-0.4978484848200239,0.23912395489015073
multimodal_isc,eda_isc,graph_nodes,6,12,10,-0.15952772373955498,0.5221052129027076,-0.8874139509709605,-0.740131582752803,-1.227785934283464,-0.24923511265377854
multimodal_isc,eda_isc,question_level,1,2,11,0.29392520448496073,0.4988752284499653,-0.4561281693589047,-0.24495032298094827,-0.5776535896292951,0.014041036867057105
multimodal_isc,gx_isc,adaptation,non_adapted,fully_adapted,13,0.22881938723235482,-0.04425556535647898,1.0739586316031735,0.27722775952932416,0.14630991565871937,0.4189510913240282
multimodal_isc,gx_isc,adaptation,non_adapted,semi_adapted,13,0.22881938723235482,0.19320320780673067,0.0889917229553544,0.037280812385324213,-0.18198883609782865,0.2598883803302159
