test,signal,condition,outcome,n,spearman_rho,p_value,boot_ci_lo,boot_ci_hi
within_condition,gfp_isc,non_adapted,mean_rt,13,0.12087912087912088,0.6940473279966857,-0.5593389830508475,0.6862964180085439
within_condition,gfp_isc,non_adapted,accuracy,13,0.23295218593820405,0.4437235478274798,-0.37529574494380286,0.7378657256878058
within_condition,gfp_isc,semi_adapted,mean_rt,13,-0.16483516483516483,0.590478988652005,-0.7430167597765363,0.48441926345609065
within_condition,gfp_isc,semi_adapted,accuracy,13,0.3287346992075132,0.27277951436978526,-0.23790806195847142,0.7447518629506092
within_condition,gfp_isc,fully_adapted,mean_rt,13,0.19230769230769232,0.5290679872349874,-0.41477945365915425,0.7311112154358949
within_condition,gfp_isc,fully_adapted,accuracy,13,-0.3310690647773828,0.2691840146598209,-0.8671657035568313,0.3561959052191521
paired_difference,gfp_isc,non_minus_full,delta_RT_non_minus_full,13,-0.016483516483516484,0.9573761750901848,-0.596638655462185,0.5574392363177564
paired_difference,gfp_isc,non_minus_full,delta_accuracy_non_minus_full,13,-0.4290109705636584,0.14351569548606816,-0.8467239127801546,0.30581951613380176
within_condition,occ_isc,non_adapted,mean_rt,13,0.5164835164835164,0.0707490406749638,-0.05322128851540616,0.8356961278692066
within_condition,occ_isc,non_adapted,accuracy,13,0.0058238046484551005,0.984935169728706,-0.6450203817472133,0.6629334638456464
within_condition,occ_isc,semi_adapted,mean_rt,13,-0.38461538461538464,0.19441291997748633,-0.7994412607449857,0.32212885154061627
within_condition,occ_isc,semi_adapted,accuracy,13,0.23601465584129153,0.4375812652608473,-0.43831460313825604,0.7852186623945805
within_condition,occ_isc,fully_adapted,mean_rt,13,-0.18131868131868134,0.5532950092839335,-0.7927315618985024,0.4872159090909085
within_condition,occ_isc,fully_adapted,accuracy,13,-0.07855876113361626,0.7986455277839908,-0.7292274602994885,0.5755908543200727
paired_difference,occ_isc,non_minus_full,delta_RT_non_minus_full,13,-0.17032967032967034,0.5779754288392673,-0.7167163879766352,0.4690327285311711
paired_difference,occ_isc,non_minus_full,delta_accuracy_non_minus_full,13,0.24236334051323563,0.42498262167407397,-0.3712371254975861,0.7366356141426216
