modality,signal,condition_factor,level_a,level_b,n_paired,mean_r_a,mean_r_b,mean_z_diff,wilcoxon_stat,p_wilcoxon,p_perm,p_raw,p_fdr_factor,p_fdr_global,p_bonferroni_factor,p_bonferroni_global,sig_raw_0.05,sig_fdr_factor,sig_fdr_global,sig_bonferroni_factor,sig_bonferroni_global
et,gx_isc,adaptation,non_adapted,fully_adapted,13,0.22881938723235482,-0.044255565356478996,0.27722775952932416,4.0,0.001708984375,0.001799640071985603,0.001799640071985603,0.013497300539892022,0.022495500899820036,0.026994601079784044,0.04499100179964007,True,True,True,True,True
et,gx_isc,adaptation,non_adapted,semi_adapted,13,0.22881938723235482,0.19320320780673075,0.03728081238532424,41.0,0.786865234375,0.7460507898420315,0.7460507898420315,0.8537578198645985,0.8300423248683596,1.0,1.0,False,False,False,False,False
et,gx_isc,adaptation,semi_adapted,fully_adapted,13,0.19320320780673075,-0.044255565356478996,0.23994694714400003,20.0,0.080322265625,0.07938412317536493,0.07938412317536493,0.14884523095380925,0.19846030793841235,1.0,1.0,False,False,False,False,False
et,gx_isc,graph_nodes,6,12,13,0.12353678562944084,0.19805115177809354,-0.07653227573643319,32.0,0.375732421875,0.3261347730453909,0.3261347730453909,0.40766846630673864,0.47960996036086895,1.0,1.0,False,False,False,False,False
et,gx_isc,question_level,1,2,13,0.21921693781859464,0.14718936235959673,0.07456703272721342,33.0,0.414306640625,0.264747050589882,0.264747050589882,0.3309338132373525,0.41366726654669067,1.0,1.0,False,False,False,False,False
et,gy_isc,adaptation,non_adapted,fully_adapted,13,0.7322652808576668,0.5581004216219316,0.303524291863635,6.0,0.00341796875,0.003799240151969606,0.003799240151969606,0.014247150569886022,0.02374525094981004,0.05698860227954409,0.09498100379924015,True,True,True,False,False
et,gy_isc,adaptation,non_adapted,semi_adapted,13,0.7322652808576668,0.5257116528128835,0.3493939159454953,4.0,0.001708984375,0.0015996800639872025,0.0015996800639872025,0.013497300539892022,0.022495500899820036,0.023995200959808036,0.03999200159968006,True,True,True,True,True
et,gy_isc,adaptation,semi_adapted,fully_adapted,13,0.5257116528128835,0.5581004216219316,-0.04586962408186025,43.0,0.892578125,0.6602679464107178,0.6602679464107178,0.8253349330133973,0.7860332695365689,1.0,1.0,False,False,False,False,False
et,gy_isc,graph_nodes,6,12,13,0.6071879820780346,0.7533989952476854,-0.27631481829811516,13.0,0.021484375,0.015796840631873626,0.015796840631873626,0.07898420315936813,0.07898420315936813,0.07898420315936813,0.39492101579684064,True,False,False,False,False
et,gy_isc,question_level,1,2,13,0.6695288480537649,0.7331245103661715,-0.1255607729388412,24.0,0.146484375,0.2631473705258948,0.2631473705258948,0.3309338132373525,0.41366726654669067,1.0,1.0,False,False,False,False,False
et,pupil_isc,adaptation,non_adapted,fully_adapted,13,0.5449614079609264,0.6197598900162066,-0.1134291511582631,23.0,0.127197265625,0.07378524295140972,0.07378524295140972,0.14884523095380925,0.19846030793841235,1.0,1.0,False,False,False,False,False
et,pupil_isc,adaptation,non_adapted,semi_adapted,13,0.5449614079609264,0.5544312299316639,-0.013570705403780189,43.0,0.892578125,0.7968406318736253,0.7968406318736253,0.8537578198645985,0.8300423248683596,1.0,1.0,False,False,False,False,False
et,pupil_isc,adaptation,semi_adapted,fully_adapted,13,0.5544312299316639,0.6197598900162066,-0.09985844575448291,22.0,0.10986328125,0.051789642071585686,0.051789642071585686,0.1294741051789642,0.16184263147370526,0.7768446310737853,1.0,False,False,False,False,False
