modality,signal,condition_factor,condition_level,participant_id,loo_r,loo_fisher_z
et,gx_isc,adaptation,non_adapted,sphynx_12,0.30606898154996837,0.31620228443597453
et,gx_isc,adaptation,non_adapted,sphynx_13,0.20824496624462444,0.2113360507027663
et,gx_isc,adaptation,non_adapted,sphynx_3,0.3061431752961603,0.31628414896480733
et,gx_isc,adaptation,non_adapted,trial_1_3,-0.009170898087622512,-0.009171155207862016
et,gx_isc,adaptation,non_adapted,sphynx_6,0.2884207340048709,0.296842845977508
et,gx_isc,adaptation,non_adapted,sphynx_5_1,0.35949656969978516,0.37630763193984945
et,gx_isc,adaptation,non_adapted,sphynx_7,0.16375494759990142,0.16524269249911414
et,gx_isc,adaptation,non_adapted,sphynx_10,0.35132445796371364,0.3669539069977563
et,gx_isc,adaptation,non_adapted,sphynx_4,-0.2490951456292073,-0.2544478664239487
et,gx_isc,adaptation,non_adapted,sphynx_11,-0.1322311502559039,-0.13301002859976493
et,gx_isc,adaptation,non_adapted,sphynx_8,0.5260722968114764,0.5846989011287386
et,gx_isc,adaptation,non_adapted,sphynx_9,0.35598865862527823,0.3722848839200503
et,gx_isc,adaptation,non_adapted,sphynx_2,0.39586688922763574,0.41873818574611527
et,gx_isc,adaptation,semi_adapted,sphynx_12,-0.0053567927005015005,-0.005356843939513053
et,gx_isc,adaptation,semi_adapted,sphynx_13,0.2191674137823971,0.22278134420446913
et,gx_isc,adaptation,semi_adapted,sphynx_3,0.6112361159675195,0.7108923799375392
et,gx_isc,adaptation,semi_adapted,trial_1_3,-0.18945395000425574,-0.19177072945784449
et,gx_isc,adaptation,semi_adapted,sphynx_6,0.5199306300169376,0.5762446801971299
et,gx_isc,adaptation,semi_adapted,sphynx_5_1,0.24689199189696953,0.25210033650115776
et,gx_isc,adaptation,semi_adapted,sphynx_7,-0.14917583011297475,-0.15029740180677742
et,gx_isc,adaptation,semi_adapted,sphynx_10,-0.41587699536407013,-0.4426964088865444
et,gx_isc,adaptation,semi_adapted,sphynx_4,0.38603666571005263,0.40713421175614206
et,gx_isc,adaptation,semi_adapted,sphynx_11,0.38362084433333604,0.4042984278044214
et,gx_isc,adaptation,semi_adapted,sphynx_8,0.09695820271793236,0.09726375931366678
et,gx_isc,adaptation,semi_adapted,sphynx_9,0.3638934623563326,0.3813663336230682
et,gx_isc,adaptation,semi_adapted,sphynx_2,0.27443319835189395,0.28165183182497455
et,gx_isc,adaptation,fully_adapted,sphynx_12,0.26376639988710887,0.2701521437914002
et,gx_isc,adaptation,fully_adapted,sphynx_13,-0.10434392846034804,-0.1047251085831191
et,gx_isc,adaptation,fully_adapted,sphynx_3,0.10754878137705351,0.10796634609222468
et,gx_isc,adaptation,fully_adapted,trial_1_3,-0.4259301229614543,-0.45491423586580526
et,gx_isc,adaptation,fully_adapted,sphynx_6,0.12918333287093986,0.1299092334761043
et,gx_isc,adaptation,fully_adapted,sphynx_5_1,-0.3131891376470151,-0.32407748456922825
et,gx_isc,adaptation,fully_adapted,sphynx_7,-0.11209018711004663,-0.11256319963225646
et,gx_isc,adaptation,fully_adapted,sphynx_10,0.3456722466696238,0.36052030050906764
et,gx_isc,adaptation,fully_adapted,sphynx_4,-0.1456651261914534,-0.14670870137241357
et,gx_isc,adaptation,fully_adapted,sphynx_11,-0.19835108575789054,-0.2010155232048894
et,gx_isc,adaptation,fully_adapted,sphynx_8,0.2535304381076942,0.2591821790374975
et,gx_isc,adaptation,fully_adapted,sphynx_9,-0.00922467739237519,-0.009224939062704095
et,gx_isc,adaptation,fully_adapted,sphynx_2,-0.3365523728037406,-0.3501994024159886
et,gx_isc,graph_nodes,6,sphynx_12,0.5213074476403406,0.578133434404906
et,gx_isc,graph_nodes,6,sphynx_13,-0.03826072072586052,-0.038279406877573134
et,gx_isc,graph_nodes,6,sphynx_3,0.30545463969424685,0.31552458415813794
et,gx_isc,graph_nodes,6,trial_1_3,-0.2023607825097924,-0.20519291754365213
et,gx_isc,graph_nodes,6,sphynx_6,0.47475454678287166,0.5161905813473525
